location,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,tests_per_case,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality,excess_mortality_cumulative_per_million
Israel,0,0,0,1,4,29,38,66,194,11,237,237,243,510,330,316,316,316,510,304,304,45,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,942,942
Italy,0,0,0,0,5,21,26,67,29,29,262,264,269,591,332,331,331,339,591,332,332,45,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,967,967
Jamaica,0,0,0,0,0,8,8,79,1071,1071,494,617,258,868,887,773,764,771,868,377,377,45,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,1050,1050
Japan,0,0,0,0,1,22,23,74,975,974,254,254,258,680,420,410,410,424,680,394,394,45,0,0,0,0,0,1120,0,0,0,0,1120,0,0,0,0,1085,1085
Jersey,0,0,0,687,687,687,687,687,687,687,687,687,687,601,687,555,555,555,601,1,1,687,687,687,687,687,687,687,687,687,687,687,687,687,687,687,0,687,687
Jordan,0,0,0,0,1,24,24,63,1079,1079,744,808,339,1063,933,866,867,871,1063,493,493,45,0,0,0,0,0,0,0,0,1079,1079,1079,0,0,0,0,1057,1057
Kazakhstan,0,0,0,0,3,14,15,57,1069,1069,622,628,623,1051,796,772,620,618,1051,673,353,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,1036
Kenya,0,0,0,7,7,20,20,71,1076,1076,804,892,249,990,867,788,840,820,990,401,401,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,1076
Kiribati,0,0,0,0,1,267,267,297,638,638,638,638,638,628,638,613,613,615,628,29,29,45,0,0,0,0,0,638,0,0,0,0,638,0,0,0,0,638,638
Kosovo,0,0,0,0,0,9,9,61,1068,1068,880,965,683,769,678,603,622,614,769,382,382,45,0,1068,1068,1068,0,0,1068,1068,1068,1068,1068,1068,1068,1068,0,1035,1035
Kuwait,0,0,0,0,0,40,40,63,1087,1087,424,431,355,1039,1082,1003,1011,1012,1039,325,374,45,0,0,0,0,0,1087,0,0,0,0,1087,0,0,0,0,1064,1064
Kyrgyzstan,0,0,0,0,0,16,17,57,1064,1064,1064,1064,1064,1064,553,525,539,587,1064,376,376,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,1031
Laos,0,0,0,0,1,411,412,439,1058,1058,790,790,720,1058,1004,945,931,939,1058,546,546,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,1058
Latvia,0,0,0,5,5,37,38,67,976,326,240,240,247,531,518,511,511,525,531,501,501,47,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,937,937
Lebanon,0,0,0,0,1,18,18,67,1090,1090,1064,1076,1090,946,703,662,686,685,946,413,438,45,0,0,0,0,0,1090,0,0,0,0,1090,0,0,0,0,1067,1067
Lesotho,0,0,0,0,0,57,57,101,1008,1008,985,1007,937,1001,1008,984,987,989,1001,366,366,45,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,1008,1008
Liberia,0,0,0,0,2,19,19,80,1065,1065,1064,1065,1065,1051,1063,1028,1028,1032,1051,487,487,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1065
Libya,0,0,0,20,20,29,30,129,1078,1078,1078,508,918,1030,1054,966,966,983,1030,439,439,45,0,0,0,0,0,1078,0,0,1078,1078,1078,0,0,0,0,1078,1078
Liechtenstein,0,0,0,0,2,31,32,214,1078,1078,480,480,535,885,771,645,645,667,885,298,298,45,0,1078,1078,1078,1078,1078,1078,0,1078,1078,1078,0,0,0,0,1051,1051
Lithuania,0,0,0,0,1,5,19,50,1063,521,241,241,247,387,368,334,334,352,387,285,285,45,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,921,921
Low income,1088,0,0,1,0,19,0,1088,1088,1088,1088,1088,1088,708,368,368,368,412,708,368,368,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,0,1088,1088
Lower middle income,1120,0,0,1,0,11,0,1120,1120,1120,1120,1120,1120,564,362,356,356,372,564,362,362,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,1120,1120
